,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_0_45_after,pips_agg_0_45_after,volatility_0_60_after,pips_agg_0_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_240_after,direction_agg_0_240_after
86,2007-04-06 10:00:00,31,1.0,0,-0.1,0,0,0,1,0,1,0,0,1,0,2007,14,4,1,8,-5,4,-4,3,-5,5,-2,4,-4,2,-3,12,-1,12,1,16,-5,3,1
87,2007-04-06 15:00:00,12,-2.5,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,14,4,1,2,0,4,-2,5,-1,4,-1,1,-1,2,-2,7,-4,9,-3,8,4,2,1
88,2007-04-10 10:00:00,37,-4.5,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,15,1,1,6,-2,4,-3,6,1,3,3,2,2,4,3,18,12,18,8,15,1,-5,1
89,2007-04-11 10:30:00,18,-0.23,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,15,2,1,2,0,4,-3,3,-1,3,1,9,6,6,9,15,8,15,7,12,2,-13,1
90,2007-04-11 14:00:00,25,-6.3,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,15,2,1,16,-10,4,-10,13,-16,6,-15,4,-11,5,-7,27,-2,27,-1,18,-5,6,1
91,2007-04-12 10:30:00,46,0.58,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,15,3,1,5,2,20,15,9,9,7,4,6,9,7,13,22,10,22,10,22,13,-2,1
92,2007-04-13 10:00:00,58,-2.2,0,-0.4,0,0,0,1,1,0,0,1,0,0,2007,15,4,1,16,-4,5,-9,5,-9,8,-3,8,-8,7,-4,41,-18,47,-23,20,8,-7,1
93,2007-04-16 09:00:00,66,-22.4,0,1.0,0,0,0,1,1,0,0,1,0,0,2007,16,0,1,17,-2,3,-3,6,0,2,0,3,-2,9,-9,23,-10,23,-4,21,2,-3,1
94,2007-04-16 10:00:00,5,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,16,0,1,7,-4,4,-1,3,-2,4,0,5,2,4,4,11,0,13,5,14,-2,1,1
95,2007-04-16 13:00:00,44,-3.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,16,0,1,4,-1,5,2,4,1,3,-1,5,1,3,0,8,3,8,0,7,1,-15,1
96,2007-04-18 10:30:00,18,-0.6,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,16,2,1,6,5,6,1,3,0,4,-1,4,0,5,0,10,-4,10,0,17,-3,-11,1
97,2007-04-19 08:30:00,69,0.92,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,16,3,1,6,4,13,12,5,8,10,0,10,-5,7,-8,32,-13,32,-11,18,6,2,1
98,2007-04-19 10:00:00,7,-0.1,0,-0.1,0,0,0,1,0,0,1,0,1,0,2007,16,3,1,14,9,8,5,4,5,5,8,5,9,4,12,25,9,25,20,15,-4,13,1
99,2007-04-19 10:30:00,46,0.25,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,16,3,1,9,3,9,-4,2,-4,2,-4,11,7,8,8,14,6,19,13,25,9,3,1
100,2007-04-19 12:00:00,53,-2.3,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,16,3,1,13,0,6,-4,4,-6,4,-3,2,-2,4,0,17,0,17,-1,14,-3,3,1
101,2007-04-24 09:00:00,65,0.0,0,1.0,0,1,0,0,1,0,0,0,1,0,2007,17,1,1,11,8,6,8,5,6,5,7,3,8,5,8,11,7,19,15,11,-4,43,2
102,2007-04-25 10:00:00,47,-32.0,0,-12.0,0,0,0,1,0,0,1,1,0,0,2007,17,2,1,16,16,6,14,13,23,9,18,11,17,5,16,26,15,26,17,24,0,4,1
103,2007-04-25 10:30:00,18,1.22,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,17,2,1,6,4,7,-1,3,0,4,1,4,1,8,5,10,-2,10,-2,34,17,-14,1
104,2007-04-26 08:30:00,69,-0.28,0,4.47,0,1,0,0,1,0,0,0,1,0,2007,17,3,1,12,2,7,7,9,10,5,11,5,13,3,14,23,5,23,1,18,2,-1,1
105,2007-04-26 10:30:00,46,-8.06,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,17,3,1,8,7,5,8,6,2,5,5,6,4,5,7,12,5,14,-2,16,-1,8,1
106,2007-04-27 10:00:00,63,1.0,0,-3.1,0,0,1,0,1,0,0,0,0,1,2007,17,4,1,15,-7,5,-6,5,-5,4,-6,3,-8,4,-7,15,-1,15,-3,21,1,-36,0
107,2007-04-30 09:45:00,10,-1.6,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,18,0,1,8,7,6,12,6,12,5,10,3,10,6,7,16,8,16,10,17,1,31,2
108,2007-04-30 10:00:00,11,0.0,0,1.0,0,1,0,0,0,1,0,0,1,0,2007,18,0,1,5,-2,3,-2,6,-5,5,0,3,-2,6,-8,11,-1,18,6,24,18,18,1
109,2007-05-01 01:00:00,67,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,1,1,3,1,2,1,4,-2,3,-3,3,-2,3,0,9,-2,10,2,9,-5,-2,1
110,2007-05-02 08:15:00,0,-43.0,0,-8.0,0,0,0,1,0,0,1,1,0,0,2007,18,2,1,7,7,5,6,3,5,4,4,4,6,3,6,12,-2,17,10,25,17,12,1
