,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_90_after,direction_agg_0_90_after
94,2007-03-15 09:00:00,66,3.0,0,-3.9000000000000004,0,0,3,0,3,0,0,1,0,0,2007,11,3,1,14,6,8,13,15,11,8,10,-6,5,8,0,15,15,7,7,12,-3,30,-4,16,2
95,2007-03-15 10:30:00,46,0.48,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,3,1,5,-3,-2,4,-1,2,6,2,3,5,0,-2,15,9,9,6,10,1,13,4,14,1
96,2007-03-15 12:00:00,53,-7.6,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,11,3,1,14,-9,-8,12,-2,9,6,-2,3,5,-5,-3,20,-10,-8,4,-9,1,20,10,-13,1
97,2007-03-16 08:30:00,13_8,2.0,0,0.0,0,3,2,0,5,0,0,1,0,1,2007,11,4,2,10,-2,1,8,-1,2,10,3,4,8,2,-3,6,0,-2,5,1,0,14,-11,0,1
98,2007-03-16 09:15:00,9_42,4.0,0,4.0,0,0,4,0,0,4,0,0,0,2,2007,11,4,2,13,-9,-6,6,-12,0,4,-10,2,9,-1,7,6,-5,-4,15,3,8,23,-10,-6,1
99,2007-03-16 10:00:00,58,-3.5999999999999996,0,-6.0,0,0,0,3,0,0,3,1,0,0,2007,11,4,1,8,-3,-3,5,-1,2,4,-1,-1,7,-5,-3,4,-1,3,4,-3,-2,23,-2,-12,1
100,2007-03-19 13:00:00,44,-2.0,0,-1.0,0,0,0,1,0,0,1,0,1,0,2007,12,0,1,4,4,3,7,2,-2,7,-3,-4,5,-5,-1,5,-5,0,6,-5,1,13,-2,2,1
101,2007-03-20 08:30:00,4_36,1.96,0,-0.02,0,2,2,0,4,0,0,0,0,2,2007,12,1,2,8,-7,-7,10,2,9,6,2,2,8,5,-1,6,3,-2,8,5,2,13,3,9,1
102,2007-03-21 10:30:00,18,0.87,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,12,2,1,5,0,-2,5,1,1,7,0,1,5,1,2,5,0,1,5,-1,-1,9,1,4,1
103,2007-03-21 14:15:00,26,0.0,0,0.0,0,3,0,0,3,0,0,1,0,0,2007,12,2,1,41,28,25,38,66,37,25,53,-13,21,69,14,15,58,-8,12,67,9,49,3,73,2
