,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,pips_agg_0_60_after,direction_agg_0_60_after
157,2008-01-24 10:00:00,14,-0.09,-0.15,0,0,1,1,0,0,1,2008,4,3,1,17,8,6,19,23,13,25,9,-14,15,1
158,2008-01-28 10:00:00,21,-0.48,0.01,0,0,1,0,0,1,1,2008,5,0,1,18,-8,-8,12,-7,-2,14,-2,7,15,1
159,2008-01-29 08:30:00,8,1.6,1.47,0,1,0,0,1,0,1,2008,5,1,1,13,-6,-5,8,-6,1,14,-7,-1,-7,0
160,2008-01-29 10:00:00,4,0.86,1.12,0,1,0,0,1,0,1,2008,5,1,1,10,-2,-3,16,-15,-11,20,-16,-1,-4,0
161,2008-01-30 08:15:00,0,0.84,0.84,0,1,0,1,0,0,1,2008,5,2,1,39,-22,-24,22,-35,-13,20,-40,-5,-28,-2
162,2008-01-30 08:30:00,1,-1.33,-0.26,0,0,1,0,1,0,1,2008,5,2,1,32,27,29,17,29,3,16,19,-12,11,1
163,2008-01-30 14:15:00,15,0.45,1.73,1,0,0,1,0,0,1,2008,5,2,1,51,54,51,34,49,-6,23,58,10,80,2
164,2008-02-01 10:00:00,17,1.61,1.61,0,1,0,1,0,0,1,2008,5,4,1,38,-15,-16,34,-42,-29,27,-29,13,-16,-1
165,2008-02-05 10:00:00,18,-1.73,-1.72,0,0,1,1,0,0,1,2008,6,1,1,15,-3,-2,14,-4,0,18,7,11,-6,0
166,2008-02-07 08:30:00,32,-0.41,-0.4,0,0,1,1,0,0,1,2008,6,3,1,16,-1,1,43,-34,-34,27,-41,-3,-51,-2
