,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_min_0_30_after,reaction_min_0_30_after
4120,2014-10-08 10:30:00,18,-2.4,0,0.0,0,2,0,0,2,0,0,0,0,1,2014,41,2,1,30,-3,-5,0
4121,2014-10-09 08:30:00,69,-0.72,0,-3.5999999999999996,0,3,0,0,3,0,0,1,0,0,2014,41,3,1,63,-27,-4,0
4122,2014-10-09 10:00:00,31,-0.87,0,-1.32,1,0,0,1,0,0,1,0,1,0,2014,41,3,1,29,-1,0,0
4123,2014-10-09 10:30:00,46,-0.91,0,0.0,0,1,0,0,1,0,0,0,1,0,2014,41,3,1,21,18,-18,1
4124,2014-10-10 08:30:00,41,0.0,0,3.96,2,2,0,0,0,2,0,0,0,1,2014,41,4,1,34,-28,-8,0
4125,2014-10-14 07:30:00,45,-2.28,1,0.0,0,0,0,1,1,0,0,0,1,0,2014,42,1,1,21,18,-9,0
4126,2014-10-15 08:30:00,17_60_21_49_16,-13.609999999999998,5,0.0,0,0,0,13,13,0,0,3,0,2,2014,42,2,5,52,18,-33,1
4127,2014-10-15 10:00:00,5,3.26,0,0.0,0,0,2,0,2,0,0,0,0,1,2014,42,2,1,150,27,-15,0
4128,2014-10-15 10:55:00,25,4.09,1,0.0,0,0,1,0,1,0,0,0,1,0,2014,42,2,1,45,-9,-6,0
4129,2014-10-16 08:30:00,69,4.0200000000000005,3,0.0,3,0,3,0,3,0,0,1,0,0,2014,42,3,1,43,6,-22,1
4130,2014-10-16 09:15:00,9_42,5.830000000000001,5,-2.6,0,0,5,0,2,0,3,1,0,1,2014,42,3,2,41,-3,-11,0
4131,2014-10-16 09:59:00,53,0.6000000000000001,0,0.0,0,0,3,0,3,0,0,1,0,0,2014,42,3,1,30,-8,-13,0
4132,2014-10-16 10:00:00,44,-3.54,2,0.0,0,0,0,2,2,0,0,0,0,1,2014,42,3,1,30,-8,-13,0
4133,2014-10-16 10:30:00,46,-1.01,0,0.0,0,1,0,0,1,0,0,0,1,0,2014,42,3,1,59,7,-4,0
4134,2014-10-16 11:00:00,18,-6.5,2,0.0,0,2,0,0,2,0,0,0,0,1,2014,42,3,1,64,35,-13,0
4135,2014-10-16 16:00:00,66,1.34,1,0.0,0,0,1,0,1,0,0,0,1,0,2014,42,3,1,16,7,-3,0
4136,2014-10-17 08:30:00,4_36,-0.8400000000000001,0,0.0,0,5,0,0,5,0,0,1,0,1,2014,42,4,2,36,4,-23,1
4137,2014-10-17 09:55:00,58,3.3000000000000003,3,0.0,0,0,3,0,3,0,0,1,0,0,2014,42,4,1,50,-36,-5,0
4138,2014-10-21 10:00:00,23,0.9,0,0.0,0,0,2,0,2,0,0,0,0,1,2014,43,1,1,34,-18,-12,0
4139,2014-10-22 08:30:00,13_8,-0.5699999999999998,0,0.0,0,0,3,3,6,0,0,2,0,0,2014,43,2,2,46,-13,-13,0
4140,2014-10-22 10:30:00,18,-4.76,2,0.0,0,2,0,0,2,0,0,0,0,1,2014,43,2,1,28,-13,-6,0
4141,2014-10-23 08:30:00,69,-2.7600000000000002,3,-8.49,0,0,0,3,3,0,0,1,0,0,2014,43,3,1,17,6,-9,0
4142,2014-10-23 09:00:00,35,0.31,0,0.88,1,0,1,0,0,1,0,0,1,0,2014,43,3,1,20,-5,-21,1
4143,2014-10-23 09:45:00,32,-1.46,2,-4.28,2,0,0,2,0,0,2,0,0,1,2014,43,3,1,22,-2,-25,1
4144,2014-10-23 10:00:00,7,0.0,0,-1.32,1,1,0,0,0,0,1,0,1,0,2014,43,3,1,25,-15,-10,0
4145,2014-10-23 10:30:00,46,-1.79,0,0.0,0,1,0,0,1,0,0,0,1,0,2014,43,3,1,30,-10,-1,0
4146,2014-10-24 10:00:00,47,-0.30000000000000004,0,-3.2700000000000005,3,0,0,3,0,0,3,1,0,0,2014,43,4,1,28,15,-21,1
4147,2014-10-27 09:45:00,33,-0.3,0,0.64,1,0,0,1,0,1,0,0,1,0,2014,44,0,1,12,-2,-2,0
4148,2014-10-27 10:00:00,50,-0.64,0,0.0,0,0,0,2,2,0,0,0,0,1,2014,44,0,1,14,3,-8,0
4149,2014-10-28 08:30:00,14_20,-4.09,2,-2.65,0,0,0,5,0,0,5,1,0,1,2014,44,1,2,46,2,-34,1
4150,2014-10-28 09:00:00,65,-0.17,0,0.0,0,1,0,0,1,0,0,0,1,0,2014,44,1,1,63,46,-17,0
4151,2014-10-28 09:59:00,64,3.14,1,0.0,0,0,1,0,1,0,0,0,1,0,2014,44,1,1,44,-20,-6,0
4152,2014-10-28 10:00:00,6,4.83,3,9.24,6,0,3,0,0,3,0,1,0,0,2014,44,1,1,44,-20,-6,0
4153,2014-10-29 10:30:00,18,-1.34,0,0.0,0,2,0,0,2,0,0,0,0,1,2014,44,2,1,33,11,-12,0
4154,2014-10-29 14:00:00,26,0.0,0,0.0,0,3,0,0,3,0,0,1,0,0,2014,44,2,1,86,-25,-45,1
4155,2014-10-30 08:30:00,69_2_1,-3.35,0,-3.7399999999999993,3,3,3,2,5,3,0,2,0,1,2014,44,3,3,51,-11,-28,1
4156,2014-10-30 10:30:00,46,-2.83,0,0.0,0,1,0,0,1,0,0,0,1,0,2014,44,3,1,30,11,-1,0
4157,2014-10-31 08:30:00,22_15_52_51,-6.75,4,0.0,0,2,2,3,7,0,0,0,1,3,2014,44,4,4,30,-13,-51,1
4158,2014-10-31 09:45:00,10,1.74,2,0.0,0,0,2,0,2,0,0,0,0,1,2014,44,4,1,59,-36,-13,0
4159,2014-10-31 09:55:00,63,-0.78,0,-4.52,0,2,0,0,2,0,0,0,0,1,2014,44,4,1,45,-20,-15,0
4160,2014-11-03 00:00:00,67,-0.15,0,0.0,0,1,0,0,1,0,0,0,1,0,2014,45,0,1,8,0,-4,0
4161,2014-11-03 09:45:00,29,-1.07,0,-1.65,0,1,0,0,1,0,0,0,1,0,2014,45,0,1,18,-9,-24,1
4162,2014-11-03 10:00:00,11_38_39,1.7799999999999994,5,0.51,0,0,3,2,4,1,0,1,2,0,2014,45,0,3,30,-3,-11,0
4163,2014-11-04 08:30:00,68,-2.46,3,-0.18,0,0,0,3,3,0,0,1,0,0,2014,45,1,1,16,7,-7,0
4164,2014-11-04 10:00:00,37_24,-1.02,0,-0.78,0,1,0,2,3,0,0,0,1,1,2014,45,1,2,19,-9,-9,0
4165,2014-11-05 08:15:00,0,1.1099999999999999,0,12.899999999999999,3,0,3,0,0,3,0,1,0,0,2014,45,2,1,20,3,-9,0
4166,2014-11-05 09:45:00,30,-0.37,0,-1.11,0,1,0,0,1,0,0,0,1,0,2014,45,2,1,22,-4,-27,1
4167,2014-11-05 10:00:00,40,-2.79,0,0.0,0,0,0,3,3,0,0,1,0,0,2014,45,2,1,30,-21,-24,1
