actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name
0.2%,USD,2008-10-31 08:30:00,0.2%,accurate,Low,Personal Income m/m,0.4%,worse,44,2008-10-31 12:30:00+00:00,0.0,2008,4,10,Friday
37.8,USD,2008-10-31 09:45:00,48.5,worse,Medium,Chicago PMI,56.7,accurate,44,2008-10-31 13:45:00+00:00,22.06,2008,4,10,Friday
57.6,USD,2008-10-31 09:55:00,57.7,accurate,Medium,Revised UoM Consumer Sentiment,57.5,accurate,44,2008-10-31 13:55:00+00:00,0.17,2008,4,10,Friday
0.3%,USD,2008-10-20 10:00:00,-0.2%,better,Low,CB Leading Index m/m,-0.9%,worse,43,2008-10-20 14:00:00+00:00,-250.0,2008,4,10,Monday
3.2M,USD,2008-10-22 10:35:00,2.3M,accurate,Medium,Crude Oil Inventories,5.6M,accurate,43,2008-10-22 14:35:00+00:00,-39.13,2008,4,10,Wednesday
478K,USD,2008-10-23 08:30:00,470K,worse,High,Unemployment Claims,463K,accurate,43,2008-10-23 12:30:00+00:00,-1.7,2008,4,10,Thursday
-0.6%,USD,2008-10-23 10:00:00,-0.5%,worse,Low,HPI m/m,-0.8%,worse,43,2008-10-23 14:00:00+00:00,20.0,2008,4,10,Thursday
70B,USD,2008-10-23 10:35:00,76B,accurate,Low,Natural Gas Storage,79B,accurate,43,2008-10-23 14:35:00+00:00,7.89,2008,4,10,Thursday
5.18M,USD,2008-10-24 10:00:00,4.93M,better,High,Existing Home Sales,4.91M,accurate,43,2008-10-24 14:00:00+00:00,-5.07,2008,4,10,Friday
41.1,USD,2008-10-14 10:00:00,44.5,worse,Low,IBD/TIPP Economic Optimism,45.8,accurate,42,2008-10-14 14:00:00+00:00,7.64,2008,4,10,Tuesday
